"No.","Time","Source","Destination","Protocol","Length","Info"
"2342","65.168335","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2343","65.194648","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2344","65.271448","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2345","65.297734","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2346","65.375276","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2347","65.405042","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2348","65.405161","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2349","65.433998","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2350","65.434111","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2351","65.459606","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2352","65.477664","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2353","65.503996","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2354","65.579978","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2355","65.605158","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2356","65.681937","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2357","65.707323","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2358","65.784306","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2359","65.812623","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2360","65.812844","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2361","65.843723","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2362","65.843944","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2363","65.872767","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2364","65.872870","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2365","65.886871","192.168.56.101","192.168.56.102","QUIC","97","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2366","65.887070","192.168.56.102","192.168.56.101","QUIC","80","Protected Payload (KP0)"
"2367","65.915503","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2368","65.988574","192.168.56.101","192.168.56.102","QUIC","91","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2369","66.014035","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2370","66.090432","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2371","66.118265","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2372","66.118521","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2373","66.144402","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2374","66.192442","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2375","66.222216","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2376","66.222335","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2377","66.247787","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2378","66.294334","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2379","66.320184","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2380","66.398487","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2381","66.424003","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2382","66.500480","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2383","66.527503","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2384","66.606074","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2385","66.631250","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2386","66.708328","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2387","66.734833","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2388","66.812043","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2389","66.838572","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2390","66.913582","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2391","66.941761","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2392","66.942009","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2393","66.969261","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2394","67.016713","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2395","67.045106","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2396","67.068094","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2397","67.076472","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2398","67.076574","192.168.56.102","192.168.56.101","QUIC","69","Protected Payload (KP0)"
"2399","67.118415","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2400","67.147331","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2401","67.147502","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2402","67.175968","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2403","67.176108","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2404","67.205647","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2405","67.205770","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2406","67.221734","192.168.56.101","192.168.56.102","QUIC","97","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2407","67.221998","192.168.56.102","192.168.56.101","QUIC","80","Protected Payload (KP0)"
"2408","67.249581","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2409","67.325508","192.168.56.101","192.168.56.102","QUIC","91","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2410","67.351161","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2411","67.428535","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2412","67.457960","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2413","67.458080","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2414","67.486861","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2415","67.486984","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2416","67.518057","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2417","67.518172","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2418","67.531905","192.168.56.101","192.168.56.102","QUIC","97","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2419","67.532167","192.168.56.102","192.168.56.101","QUIC","80","Protected Payload (KP0)"
"2420","67.558983","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2421","67.635458","192.168.56.101","192.168.56.102","QUIC","91","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2422","67.661669","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2423","67.737377","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2424","67.765834","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2425","67.766060","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2426","67.791756","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2427","67.840025","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2428","67.870659","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2429","67.870763","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2430","67.902664","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2431","67.902781","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2432","67.934812","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2433","67.934888","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2434","67.942333","192.168.56.101","192.168.56.102","QUIC","97","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2435","67.942600","192.168.56.102","192.168.56.101","QUIC","80","Protected Payload (KP0)"
"2436","67.970350","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2437","68.043954","192.168.56.101","192.168.56.102","QUIC","91","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2438","68.069614","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2439","68.146848","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2440","68.173457","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2441","68.252051","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2442","68.281967","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2443","68.282068","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2444","68.307690","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2445","68.354202","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2446","68.380020","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2447","68.457278","192.168.56.101","192.168.56.102","QUIC","98","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2448","68.486856","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2449","68.486967","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2450","68.514693","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2451","68.515289","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2452","68.545764","192.168.56.102","192.168.56.101","QUIC","70","Protected Payload (KP0)"
"2453","68.546003","192.168.56.101","192.168.56.102","QUIC","1514","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2454","68.559317","192.168.56.101","192.168.56.102","QUIC","97","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2455","68.559569","192.168.56.102","192.168.56.101","QUIC","80","Protected Payload (KP0)"
"2456","68.587334","192.168.56.101","192.168.56.102","QUIC","79","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
"2457","68.662581","192.168.56.101","192.168.56.102","QUIC","91","Protected Payload (KP0), DCID=ac6fab7ba1cb01c551"
