"No.","Time","Source","Destination","Protocol","Length","Info"
"162","2.569359","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"163","2.569471","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4283 Win=64896 Len=0 TSval=683104945 TSecr=1856064523"
"164","2.620557","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"165","2.621078","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"166","2.621235","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4359 Win=64896 Len=0 TSval=683104997 TSecr=1856064575"
"167","2.672944","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"168","2.673307","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"169","2.673454","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4435 Win=64896 Len=0 TSval=683105049 TSecr=1856064627"
"170","2.724702","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"171","2.725192","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"172","2.725342","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4511 Win=64896 Len=0 TSval=683105101 TSecr=1856064679"
"173","2.776683","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"174","2.777171","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"175","2.777319","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4587 Win=64896 Len=0 TSval=683105153 TSecr=1856064731"
"176","2.828880","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"177","2.829267","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"178","2.829412","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4663 Win=64896 Len=0 TSval=683105205 TSecr=1856064783"
"179","2.882211","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"180","2.882760","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"181","2.882897","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4739 Win=64896 Len=0 TSval=683105259 TSecr=1856064836"
"182","2.933865","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"183","2.934214","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"184","2.934374","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4815 Win=64896 Len=0 TSval=683105310 TSecr=1856064888"
"185","2.985436","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"186","2.985872","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"187","2.985983","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4891 Win=64896 Len=0 TSval=683105362 TSecr=1856064940"
"188","3.038721","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"189","3.039082","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"190","3.039184","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=4967 Win=64896 Len=0 TSval=683105415 TSecr=1856064993"
"191","3.090591","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"192","3.090932","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"193","3.091072","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5043 Win=64896 Len=0 TSval=683105467 TSecr=1856065045"
"194","3.143200","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"195","3.143482","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"196","3.143584","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5119 Win=64896 Len=0 TSval=683105520 TSecr=1856065097"
"197","3.196656","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"198","3.197242","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"199","3.197397","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5195 Win=64896 Len=0 TSval=683105573 TSecr=1856065151"
"200","3.248222","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"201","3.248789","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"202","3.248934","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5271 Win=64896 Len=0 TSval=683105625 TSecr=1856065202"
"203","3.300711","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"204","3.301186","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"205","3.301294","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5347 Win=64896 Len=0 TSval=683105677 TSecr=1856065255"
"206","3.352231","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"207","3.352959","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"208","3.353069","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5423 Win=64896 Len=0 TSval=683105729 TSecr=1856065306"
"209","3.405804","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"210","3.406168","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"211","3.406275","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5499 Win=64896 Len=0 TSval=683105782 TSecr=1856065360"
"212","3.457620","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"213","3.457951","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"214","3.458100","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5575 Win=64896 Len=0 TSval=683105834 TSecr=1856065412"
"215","3.509222","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"216","3.509717","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"217","3.509841","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5651 Win=64896 Len=0 TSval=683105886 TSecr=1856065463"
"218","3.561455","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"219","3.561852","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"220","3.561956","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5727 Win=64896 Len=0 TSval=683105938 TSecr=1856065516"
"221","3.613191","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"222","3.613615","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"223","3.613735","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5803 Win=64896 Len=0 TSval=683105990 TSecr=1856065567"
"224","3.665019","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"225","3.665523","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"226","3.665642","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5879 Win=64896 Len=0 TSval=683106042 TSecr=1856065619"
"227","3.717687","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"228","3.718038","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"229","3.718161","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=5955 Win=64896 Len=0 TSval=683106094 TSecr=1856065672"
"230","3.769209","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"231","3.769536","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"232","3.769685","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=6031 Win=64896 Len=0 TSval=683106146 TSecr=1856065723"
"233","3.820152","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"234","3.820676","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"235","3.820807","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=6107 Win=64896 Len=0 TSval=683106197 TSecr=1856065774"
"236","3.873789","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"237","3.874350","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"238","3.874465","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=6183 Win=64896 Len=0 TSval=683106250 TSecr=1856065828"
"239","3.925378","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"240","3.925727","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"241","3.925863","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=6259 Win=64896 Len=0 TSval=683106302 TSecr=1856065879"
"242","3.977057","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"243","3.977437","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"244","3.977580","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=6335 Win=64896 Len=0 TSval=683106354 TSecr=1856065931"
"245","4.028561","192.168.56.101","192.168.56.102","TLSv1.2","97","Application Data"
"246","4.029061","192.168.56.101","192.168.56.102","TLSv1.2","111","Application Data"
"247","4.029212","192.168.56.102","192.168.56.101","TCP","66","8883  >  39542 [ACK] Seq=2153 Ack=6411 Win=64896 Len=0 TSval=683106405 TSecr=1856065983"
